url,short,page,title,author,desc,quarter,year
http://www.alternativ.nu/butik/åter/1998/åter-298.html,"Året med fåret. Människan och ullen. Bereda skinn. Lantrasföreningar för får. Odla vitlök, rabarber och jordärtskocka. Insändare. Mjölkprodukter. Inget får förfaras!",NA,"NA","NA","NA",2,1998
http://www.alternativ.nu/butik/åter/1998/åter-398.html,Porträtt av Annelies Schöneck. Skaffa get! Reportage från hantverkslägret Ragnarök. Om en örtagård på Orust. Tema: hygien. Halmbalshus. Holma.,NA,"NA","NA","NA",3,1998
http://www.alternativ.nu/butik/åter/1999/åter-299.html,Skaffa gris. Täckodling. Urinblåselyktor. Kärngårdar. Björk. Fettgarvning. Örtté.,NA,"NA","NA","NA",2,1999
http://www.alternativ.nu/butik/åter/1999/åter-399.html,Smide. Föda hemma. Cirkelodling. Bygg en krake! Andlig ekologi. Mjölksyrning.,NA,"NA","NA","NA",3,1999
http://www.alternativ.nu/butik/åter/1999/åter-499.html,Smide del 2. Skogsfolket. Tygblöjor. I brist på jordkällare. Kompostera din skit! Ett kollektiv i Skåne. Gäss. Ting.,NA,"NA","NA","NA",4,1999
http://www.alternativ.nu/butik/åter/2000/åter-200.html,Musikinstrument. Kålens fiender. Bygga gärdesgård. Ko till husbehov.,NA,"NA","NA","NA",2,2000
http://www.alternativ.nu/butik/åter/2000/åter-300.html,Wallners halmhus. Att ta tillvara äpplen. Ekobymöte i Kampetorp. Hemundervisning. Täcka med gräsklipp. Alternativt husapotek. Skogsnäs.,NA,"NA","NA","NA",3,2000
http://www.alternativ.nu/butik/åter/2000/åter-400.html,Rädda världen med kniv och yxa. Naturligt föräldraskap. Keramik. Hantverkslägret Ragnarök. Alternativ begravning. Korv. Reportage: Att inte lönearbeta.,NA,"NA","NA","NA",4,2000
http://www.alternativ.nu/butik/åter/2001/åter-201.html,Höns. Drycker. Solvärme. Friluftsliv. I en självförsörjares skafferi. Majas odlingstips. Att komma överens.,NA,"NA","NA","NA",2,2001
http://www.alternativ.nu/butik/åter/2001/åter-301.html,Tema: Torkning för husbehov. Insjäfiske med nät. Egen el med vindsnurra. Samodling. Cidertillverkning. Fröodling. Traditionella färger. Föreningslista.,NA,"NA","NA","NA",3,2001
http://www.alternativ.nu/butik/åter/2002/åter-102.html,Hemfödsel. Slipning av verktyg. Lin. Hud- och hårvård. Stark som en oxe. Barggarvning. Räcker marken? Bok: Bondens jord. Kurser.,NA,"NA","NA","NA",1,2002
http://www.alternativ.nu/butik/åter/2002/åter-202.html,Tova. Hässja hö. Biodynamisk odling. Kubbhus. Mitt sätt att sköta skogen. Att leva off grid. Sy en sovsäck. Ekoboprojekt. Blöjfri.,NA,"NA","NA","NA",2,2002
